DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2005-S2,0.1902,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2006-S1,0.1934,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2006-S2,0.1956,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2007-S1,0.2015,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2007-S2,0.2027,p
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2002-S1,0.0575,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2003-S1,0.0735,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2004-S1,0.0735,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2004-S2,0.0842,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2005-S1,0.0842,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2005-S2,0.0870,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2006-S1,0.0896,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2006-S2,0.0906,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2007-S1,0.0906,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EE,2007-S2,0.0908,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2004-S2,0.0838,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2005-S1,0.0859,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2005-S2,0.0867,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2006-S1,0.0867,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2006-S2,0.0867,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2007-S1,0.0925,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EL,2007-S2,0.0925,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2005-S1,0.1404,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2005-S2,0.1404,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2006-S1,0.1467,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2006-S2,0.1479,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2007-S1,0.1467,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,ES,2007-S2,0.1508,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2003-S2,0.1867,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2004-S1,0.1880,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2004-S2,0.1818,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2005-S1,0.1883,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2005-S2,0.1891,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2006-S1,0.1937,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2006-S2,0.1996,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2007-S1,0.2098,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU15,2007-S2,0.2067,p
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU25,2004-S1,0.1826,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU25,2004-S2,0.1773,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU25,2005-S1,0.1840,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU25,2005-S2,0.1848,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EU25,2006-S1,0.1904,
