Date,Price,Open,High,Low,Vol.,Change %
1/12/97,1131.33,1152.34,1171.30,1077.24,,-1.82%
1/11/97,1152.34,1153.95,1203.00,1114.00,,-0.14%
1/10/97,1153.95,1268.75,1331.91,1064.44,,-8.96%
1/9/97,1267.55,1139.64,1268.81,1138.14,,11.22%
1/8/97,1139.64,1239.70,1257.86,1134.19,,-8.08%
1/7/97,1239.77,1093.41,1241.88,1091.31,,13.39%
1/6/97,1093.41,1046.29,1102.65,1045.66,,4.50%
1/5/97,1046.29,1018.18,1080.09,1018.18,,2.76%
1/4/97,1018.18,996.17,1024.90,941.78,,2.21%
1/3/97,996.17,1016.53,1057.34,971.38,,-2.00%
1/2/97,1016.53,952.04,1034.65,945.54,,6.77%
1/1/97,952.08,863.69,956.43,854.50,,10.23%
1/12/96,863.69,829.26,865.05,823.25,,4.15%
1/11/96,829.26,771.62,833.39,769.49,,7.47%
1/10/96,771.62,771.49,800.74,758.89,,0.02%
1/9/96,771.49,771.28,775.15,741.22,,0.03%
1/8/96,771.28,710.26,773.30,710.26,,8.55%
1/7/96,710.50,721.17,738.30,690.32,,-1.48%
1/6/96,721.17,738.04,738.11,713.76,,-2.29%
1/5/96,738.04,714.22,738.64,678.77,,3.34%
1/4/96,714.22,675.42,714.43,655.76,,5.74%
1/3/96,675.42,665.21,703.46,657.57,,1.53%
1/2/96,665.21,640.87,682.95,638.09,,3.80%
1/1/96,640.87,623.85,667.86,611.75,,2.72%
1/12/95,623.87,677.55,686.23,588.28,,-7.92%
1/11/95,677.55,654.59,683.09,638.85,,-0.03%
1/10/95,677.74,677.74,677.74,677.74,,-11.88%
1/9/95,769.10,769.10,769.10,769.10,,0.40%
1/8/95,766.01,766.01,766.01,766.01,,-0.63%
1/7/95,770.86,770.86,770.86,770.86,,6.59%
1/6/95,723.21,723.21,723.21,723.21,,7.40%
1/5/95,673.41,673.41,673.41,673.41,,1.69%
1/4/95,662.24,662.24,662.24,662.24,,13.74%
1/3/95,582.24,582.24,582.24,582.24,,-8.91%
1/2/95,639.22,639.22,639.22,639.22,,-5.86%
1/1/95,679.01,679.01,679.01,679.01,,-1.26%
1/12/94,687.68,687.68,687.68,687.68,,-0.54%
1/11/94,691.39,691.39,691.39,691.39,,-6.35%
1/10/94,738.27,738.27,738.27,738.27,,2.50%
1/9/94,720.25,720.25,720.25,720.25,,-3.34%
1/8/94,745.17,745.17,745.17,745.17,,6.43%
1/7/94,700.12,700.12,700.12,700.12,,8.58%
1/6/94,644.80,644.80,644.80,644.80,,-3.90%
1/5/94,670.97,670.97,670.97,670.97,,-3.62%
1/4/94,696.17,696.17,696.17,696.17,,5.92%
1/3/94,657.23,657.23,657.23,657.23,,-6.02%
1/2/94,699.31,699.31,699.31,699.31,,-1.29%
1/1/94,708.43,708.43,708.43,708.43,,17.56%
